//=============================================================================================================================================================================================================================================================================================================================================================
// Item SEASON 6 + SEASON 15
//=============================================================================================================================================================================================================================================================================================================================================================
0
//============================================================================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//============================================================================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDef       Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//===========================================================================================================================================================================================================================================================================================================
54	     5	    0	    2	    2	     1	          1	           0	      "Găng Song Long(DK)"		          142	   59	     7	            90	         360	    67	          151	         0	         0	           0	           0	  0       3       0       0       0       0       0
55	     5	    0	    2	    2	     1	          1	           0	      "Găng Song Long(DW)"		          142	   40	     7	            90	         360	    45	          13	         171	     0	           0	           0	  3       0       0       0       0       0       0
56	     5	    0	    2	    2	     1	          1	           0	      "Găng Song Long(EF)"		          142	   52	     7	            90	         360	    48	          180	         0	         0	           0	           0	  0       0       3       0       0       0       0
57	     5	    0	    2	    2	     1	          1	           0	      "Găng Song Long(MG)"		          142	   58	     7	            90	         360	    194	          52	         0	         0	           0	           0	  0       0       0       3       0       0       0
58	     5	    0	    2	    2	     1	          1	           0	      "Găng Song Long(DL)"	              142	   43	     7	            90	         360	    112	          22	         0	         0	           0	           0	  0       0       0       0       3       0       0
//===========================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDef       Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//===========================================================================================================================================================================================================================================================================================================
62       5      0       2       2        0            0            0          "Lucky Scale Gloves"                 22      10        10             255          1          0             0              0           0             0               0      0       1       0       0       1       0       1
63       5      0       2       2        0            0            0          "Lucky Silk Gloves"                  14      6         8              255          1          0             0              0           0             0               0      0       0       1       0       0       0       0
64       5      0       2       2        0            0            0          "Lucky Sphinx Gloves"                28      12        0              255          1          0             0              0           0             0               0      1       0       0       1       0       0       0
65       5      0       2       2        0            0            0          "Lucky Violent Wind Gloves"          24      13        6              255          1          0             0              0           0             0               0      0       0       0       0       0       1       0
66       5      0       2       2        0            0            0          "Lucky Dark Soul Gloves"             57      20        6              255          150        0             0              0           0             0               0      0       0       0       0       1       0       0
67       5      0       2       2        0            0            0          "Lucky Dragon Gloves"                52      19        6              255          150        0             0              0           0             0               0      0       1       0       0       0       0       0
68       5      0       2       2        0            0            0          "Lucky Guardian Gloves"              50      20        6              255          150        0             0              0           0             0               0      0       0       1       0       0       0       0
69       5      0       2       2        0            0            0          "Lucky Legendary Gloves"             44      16        0              255          150        0             0              0           0             0               0      1       0       0       0       0       0       0
70       5      0       2       2        0            0            0          "Lucky Red Wing Gloves"              44      18        8              255          150        0             0              0           0             0               0      0       0       0       0       0       1       0
71       5      0       2       2        0            0            0          "Lucky Atlans Gloves"                70      25        6              255          150        0             0              0           0             0               0      0       0       0       1       0       0       0
//--
74	     5	    0	    2	    2	     1	          1	           0	      "Găng Song Long(SM)"			       142	   38	     6	            90	         360	    56	          19	         157	     0	           0	           0	  0       0       0       0       0       3       0
//===========================================================================================================================================================================================================================================================================================================
// Season 10                                                                                                       
//===========================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDef       Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//===========================================================================================================================================================================================================================================================================================================
98       5      0       2       2        1            1            0          "Găng Ác Mộng(DK)"                   150     60        0              100          200        200	          33	         0	         0	           0               0      0       3       0       0       0       0       0
99       5      0       2       2        1            1            0          "Găng Ác Mộng(DW)"                   150     41        0              100          200        45	          13	         171	     0	           0               0      3       0       0       0       0       0       0
100      5      0       2       2        1            1            0          "Găng Ác Mộng(EF)"                   150     50        0              100          200        14	          31	         127	     0	           0               0      0       0       3       0       0       0       0
101      5      0       2       2        1            1            0          "Găng Ác Mộng(SM)"                   150     38        0              100          200        56	          19	         157	     0	           0               0      0       0       0       0       0       3       0
102      5      0       2       2        1            1            0          "Găng Ác Mộng(MG)"                   150     60        0              100          200        48	          17	         142	     0	           0               0      0       0       0       3       0       0       0
103      5      0       2       2        1            1            0          "Găng Ác Mộng(DL)"                   150     43        0              100          200        112	          22	         0	         0	           0               0      0       0       0       0       3       0       0
//===========================================================================================================================================================================================================================================================================================================
// Season 11                                                                                                       
//===========================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDef       Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//===========================================================================================================================================================================================================================================================================================================
138      5      0       2       2        1            1            0          "Găng Bóng Tối(DK)"                  150     85        0              100          250        210	          43	         0	         0	           0               0      0       3       0       0       0       0       0
139      5      0       2       2        1            1            0          "Găng Bóng Tối(DW)"                  150     66        0              100          250        55	          23	         181	     0	           0               0      3       0       0       0       0       0       0
140      5      0       2       2        1            1            0          "Găng Bóng Tối(EF)"                  150     75        0              100          250        24	          41	         137	     0	           0               0      0       0       3       0       0       0       0
141      5      0       2       2        1            1            0          "Găng Bóng Tối(SM)"                  150     63        0              100          250        66	          29	         167	     0	           0               0      0       0       0       0       0       3       0
142      5      0       2       2        1            1            0          "Găng Bóng Tối(MG)"                  150     85        0              100          250        58	          27	         152	     0	           0               0      0       0       0       3       0       0       0
143      5      0       2       2        1            1            0          "Găng Bóng Tối(DL)"                  150     68        0              100          250        122	          32	         0	         0	           0               0      0       0       0       0       3       0       0
//===========================================================================================================================================================================================================================================================================================================
// Season 12                                                                                                       
//===========================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDef       Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//===========================================================================================================================================================================================================================================================================================================
145      5      0       2       2        1            1            0          "Găng Đồ Long(DK)"                   150     135       0              100          300        220	          53	         0	         0	           0               0      0       3       0       0       0       0       0
146      5      0       2       2        1            1            0          "Găng Đồ Long(DW)"                   150     116       0              100          300        65	          33	         191	     0	           0               0      3       0       0       0       0       0       0
147      5      0       2       2        1            1            0          "Găng Đồ Long(EF)"                   150     125       0              100          300        34	          51	         147	     0	           0               0      0       0       3       0       0       0       0
148      5      0       2       2        1            1            0          "Găng Đồ Long(SM)"                   150     113       0              100          300        76	          39	         177	     0	           0               0      0       0       0       0       0       3       0
149      5      0       2       2        1            1            0          "Găng Đồ Long(MG)"                   150     135       0              100          300        68	          37	         162	     0	           0               0      0       0       0       3       0       0       0
150      5      0       2       2        1            1            0          "Găng Đồ Long(DL)"                   150     118       0              100          300        132	          42	         0	         0	           0               0      0       0       0       0       3       0       0
//===========================================================================================================================================================================================================================================================================================================
// Season 13                                                                                                       
//===========================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDef       Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//===========================================================================================================================================================================================================================================================================================================
152      5      0       2       2        1            1            0          "Găng Linh Hồn(DK)"                  150     182       0              100          350        230	          63	         0	         0	           0               0      0       3       0       0       0       0       0
153      5      0       2       2        1            1            0          "Găng Linh Hồn(DW)"                  150     164       0              100          350        75	          43	         201	     0	           0               0      3       0       0       0       0       0       0
154      5      0       2       2        1            1            0          "Găng Linh Hồn(EF)"                  150     172       0              100          350        44	          61	         157	     0	           0               0      0       0       3       0       0       0       0
155      5      0       2       2        1            1            0          "Găng Linh Hồn(SM)"                  150     161       0              100          350        86	          49	         187	     0	           0               0      0       0       0       0       0       3       0
156      5      0       2       2        1            1            0          "Găng Linh Hồn(MG)"                  150     180       0              100          350        78	          47	         172	     0	           0               0      0       0       0       3       0       0       0
157      5      0       2       2        1            1            0          "Găng Linh Hồn(DL)"                  150     162       0              100          350        142	          52	         0	         0	           0               0      0       0       0       0       3       0       0
//===========================================================================================================================================================================================================================================================================================================
// Season 14                                                                                                       
//===========================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDef       Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//===========================================================================================================================================================================================================================================================================================================
159      5      0       2       2        1            1            0          "Găng Ánh Sáng(DK)"                  150     227       0              100          380       240	          73	         0	         0	           0               0      0       3       0       0       0       0       0
160      5      0       2       2        1            1            0          "Găng Ánh Sáng(DW)"                  150     209       0              100          380       85	          53	         211	     0	           0               0      3       0       0       0       0       0       0
161      5      0       2       2        1            1            0          "Găng Ánh Sáng(EF)"                  150     217       0              100          380       54	          71	         167	     0	           0               0      0       0       3       0       0       0       0
162      5      0       2       2        1            1            0          "Găng Ánh Sáng(SM)"                  150     206       0              100          380       96	          59	         197	     0	           0               0      0       0       0       0       0       3       0
163      5      0       2       2        1            1            0          "Găng Ánh Sáng(MG)"                  150     225       0              100          380       88	          57	         182	     0	           0               0      0       0       0       3       0       0       0
164      5      0       2       2        1            1            0          "Găng Ánh Sáng(DL)"                  150     207       0              100          380       152	          62	         0	         0	           0               0      0       0       0       0       3       0       0
//===========================================================================================================================================================================================================================================================================================================
// Season 15                                                                                                       
//===========================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDef       Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//===========================================================================================================================================================================================================================================================================================================
168      5      0       2       2        1            1            0          "Găng Long Thần(DK)"                 150     272       0              100          380        250	          83	         0	         0	           0               0      0       3       0       0       0       0       0
169      5      0       2       2        1            1            0          "Găng Long Thần(DW)"                 150     254       0              100          380        95	          63	         221	     0	           0               0      3       0       0       0       0       0       0
170      5      0       2       2        1            1            0          "Găng Long Thần(EF)"                 150     262       0              100          380        64	          81	         177	     0	           0               0      0       0       3       0       0       0       0
171      5      0       2       2        1            1            0          "Găng Long Thần(SM)"                 150     251       0              100          380        106	          69	         207	     0	           0               0      0       0       0       0       0       3       0
172      5      0       2       2        1            1            0          "Găng Long Thần(MG)"                 150     270       0              100          380        98	          67	         192	     0	           0               0      0       0       0       3       0       0       0
173      5      0       2       2        1            1            0          "Găng Long Thần(DL)"                 150     252       0              100          380        162	          72	         0	         0	           0               0      0       0       0       0       3       0       0
//===========================================================================================================================================================================================================================================================================================================
// Season 16                                                                                                       
//===========================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDef       Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//===========================================================================================================================================================================================================================================================================================================
175      5      0       2       2        1            1            0          "Găng Huyết Thần(DK)"                150     317       0              100          380        260	          93	         0	         0	           0               0      0       3       0       0       0       0       0
176      5      0       2       2        1            1            0          "Găng Huyết Thần(DW)"                150     299       0              100          380        105	          73	         231	     0	           0               0      3       0       0       0       0       0       0
177      5      0       2       2        1            1            0          "Găng Huyết Thần(EF)"                150     307       0              100          380        74	          91	         187	     0	           0               0      0       0       3       0       0       0       0
178      5      0       2       2        1            1            0          "Găng Huyết Thần(SM)"                150     296       0              100          380        116	          79	         217	     0	           0               0      0       0       0       0       0       3       0
179      5      0       2       2        1            1            0          "Găng Huyết Thần(MG)"                150     315       0              100          380        108	          77	         202	     0	           0               0      0       0       0       3       0       0       0
180      5      0       2       2        1            1            0          "Găng Huyết Thần(DL)"                150     397       0              100          380        172	          82	         0	         0	           0               0      0       0       0       0       3       0       0
//===========================================================================================================================================================================================================================================================================================================
// Season 16|GUN CRASHER                                                                                           
//===========================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDef       Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//===========================================================================================================================================================================================================================================================================================================
182      5      0       2       2        1            1            0          "GunCrasher Gloves"                  150     317       0              100          380        260	          93	         0	         0	           0               0      3       3       0       3       3       0       0
//===========================================================================================================================================================================================================================================================================================================
// Custom                                                                                          
//===========================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDef       Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//===========================================================================================================================================================================================================================================================================================================
200      5      0       2       2        1            1            0          "Găng Goku[A]"                  150     317       0              100          380        260	          93	         0	         0	           0               0      3       3       0       3       3       0       0


end

11
//===========================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDef       Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//===========================================================================================================================================================================================================================================================================================================
0        6      0       2       2        1            1            1          "Giầy Đồng"  		                12      4         10             34           0          80            20             0           0             0               0      0       1       0       1       1       0       0
1        6      0       2       2        1            1            1          "Giầy Hỏa Long"  	                54      15        2              68           0          120           30             0           0             0               0      0       1       0       1       0       0       0
2        6      0       2       2        1            1            1          "Giầy Vải Thô"  	                4       3         10             28           0          20            0              0           0             0               0      1       0       0       1       0       0       0
3        6      0       2       2        1            1            1          "Giầy Ma Thuật"  	                46      12        0              42           0          30            0              0           0             0               0      1       0       0       1       0       0       0
4        6      0       2       2        1            1            1          "Giầy Xương"  	               16      6         6              30           0          30            0              0           0             0               0      1       0       0       1       0       0       0
5        6      0       2       2        1            1            1          "Giầy Da"  		               5       2         12             30           0          80            0              0           0             0               0      0       1       0       1       1       0       0
6        6      0       2       2        1            1            1          "Giầy Trầu Xanh"                 22      8         8              40           0          110           0              0           0             0               0      0       1       0       1       1       0       1
7        6      0       2       2        1            1            1          "Giầy Nhân Sư"  	                30      9         8              36           0          30            0              0           0             0               0      1       0       0       1       0       0       0
8        6      0       2       2        1            1            1          "Giầy Thiên Kim"                 32      10        6              44           0          100           30             0           0             0               0      0       1       0       1       0       0       1
9        6      0       2       2        1            1            1          "Giầy Thiết Phiến"                42      12        4              50           0          130           0              0           0             0               0      0       1       0       1       0       0       1
10       6      0       2       2        1            1            1          "Giầy Trinh Nữ"  	                5       2         0              22           0          30            60             0           0             0               0      0       0       1       0       0       0       0
11       6      0       2       2        1            1            1          "Giầy Lụa"  		                15      4         0              26           0          30            70             0           0             0               0      0       0       1       0       0       0       0
12       6      0       2       2        1            1            1          "Giầy Thiên Thanh"                27      7         0              32           0          30            80             0           0             0               0      0       0       1       0       0       0       0
13       6      0       2       2        1            1            1          "Giầy Ngọc Bích"                 40      10        0              38           0          40            80             0           0             0               0      0       0       1       0       0       0       0
14       6      0       2       2        1            1            1          "Giầy Kim Ngân"  	                52      16        0              45           0          40            80             0           0             0               0      0       0       1       0       0       0       0
15       6      0       2       2        1            1            1          "Giầy Phong Vũ"  	                72      22        2              80           0          150           70             0           0             0               0      0       0       0       1       0       0       0
16       6      0       2       2        1            1            1          "Giầy Hắc Long"  	                78      24        2              74           0          170           60             0           0             0               0      0       1       0       0       0       0       0
17       6      0       2       2        1            1            1          "Giầy Phượng Hoàng"               93      40        2              80           0          198           60             0           0             0               0      0       2       0       0       0       0       0
18       6      0       2       2        1            1            1          "Giầy Triệu Hồn"                 76      22        0              67           0          59            10             0           0             0               0      2       0       0       0       0       0       0
19       6      0       2       2        1            1            1          "Giầy Giai Nhân"                 81      30        0              74           0          50            110            0           0             0               0      0       0       2       0       0       0       0
20       6      0       2       2        1            1            1          "Giầy Lôi Phong"                 92      37        2              82           0          150           70             0           0             0               0      0       0       0       1       0       0       0
21       6      0       2       2        1            1            1          "Giầy Thần Long"                 98      50        0              86           0          200           58             0           0             0               0      0       2       0       0       0       0       0
22       6      0       2       2        1            1            1          "Giầy Ma Vương"  	                95      31        0              75           0          55            18             0           0             0               0      2       0       0       0       0       0       0
23       6      0       2       2        1            1            1          "Giầy Cuồng Phong"                110     50        0              90           0          162           66             0           0             0               0      0       0       0       1       0       0       0
24       6      0       2       2        1            1            1          "Giầy Thánh Nữ"  	                87      40        0              80           0          52            115            0           0             0               0      0       0       2       0       0       0       0
25       6      0       2       2        1            1            1          "Giầy Thiết Ma"  	                45      13        0              42           0          70            20             0           0             0               0      0       0       0       0       1       0       0
26       6      0       2       2        1            1            1          "Giầy Huyền Thiết"                60      20        0              56           0          77            21             0           0             0               0      0       0       0       0       1       0       0
27       6      0       2       2        1            1            1          "Giầy Hắc Vương"                 83      25        0              70           0          84            22             0           0             0               0      0       0       0       0       1       0       0
28       6      0       2       2        1            1            1          "Giầy Chí Tôn"  	                95      33        0              78           0          80            21             0           0             0               0      0       0       0       0       1       0       0

29       6      0       2       2        1            1            1          "Giầy Quyền Năng"              119     63        0              90           380        170           60             0           0             0               0      0       2       0       0       0       0       0
30       6      0       2       2        1            1            1          "Giầy Thần Ma"  	             119     47        0              86           380        44            15             0           0             0               0      2       0       0       0       0       0       0
31       6      0       2       2        1            1            1          "Giầy Thái Bình"               119     53        0              86           380        38            80             0           0             0               0      0       0       2       0       0       0       0
32       6      0       2       2        1            1            1          "Giầy Hồng Long"               131     61        0              95           380        145           60             0           0             0               0      0       0       0       1       0       0       0
33       6      0       2       2        1            1            1          "Giầy Thái Dương"              121     44        0              82           380        62            16             0           0             0               0      0       0       0       0       1       0       0

34       6      0       2       2        1            1            1          "Giầy Hắc Điểu"                68      19        0              72           0          160           50             0           0             0               0      0       1       0       0       0       0       0
35       6      0       2       2        1            1            1          "Giầy Ánh Trăng"               68      17        0              54           0          53            12             0           0             0               0      1       0       0       0       0       0       0
36       6      0       2       2        1            1            1          "Giầy Nữ Thần"                 68      23        0              59           0          50            70             0           0             0               0      0       0       1       0       0       0       0
37       6      0       2       2        1            1            1          "Giầy Hỏa Thần"                98      29        0              81           0          155           50             0           0             0               0      0       0       0       1       0       0       0
38       6      0       2       2        1            1            1          "Giầy Hoàng Kim"               98      29        0              74           0          80            21             0           0             0               0      0       0       0       0       1       0       0
39       6      0       2       2        1            1            1          "Giầy Thuật Sĩ"                26      11        0              36           0          27            0              0           0             0               0      0       0       0       0       0       1       0
40       6      0       2       2        1            1            1          "Giầy Hỏa Thiên"               46      15        0              42           0          25            4              0           0             0               0      0       0       0       0       0       1       0
41       6      0       2       2        1            1            1          "Giầy Ma Pháp"                 65      21        0              54           0          53            16             0           0             0               0      0       0       0       0       0       1       0
42       6      0       2       2        1            1            1          "Giầy Phục Ma"                 76      28        0              67           0          60            10             0           0             0               0      0       0       0       0       0       2       0
43       6      0       2       2        1            1            1          "Giầy Bão Điện"                95      38        0              75           380        57            20             0           0             0               0      0       0       0       0       0       2       0
